Date;GDP
mar/15;515,523.6
abr/15;497,109.5
mai/15;492,308.4
jun/15;490,551.9
jul/15;507,172.5
ago/15;501,393.3
set/15;499,662.4
out/15;521,320.3
nov/15;513,566.6
dez/15;516,043.4
jan/16;481,704.7
fev/16;490,480.0
mar/16;528,114.3
abr/16;520,856.4
mai/16;516,535.8
jun/16;521,658.0
jul/16;521,941.4
ago/16;530,770.2
set/16;524,458.9
out/16;539,731.7
nov/16;546,119.8
dez/16;546,957.0
jan/17;513,860.2
fev/17;510,869.9
mar/17;560,943.3
abr/17;537,636.7
mai/17;551,003.6
jun/17;542,089.3
jul/17;548,413.0
ago/17;555,965.7
set/17;544,256.6
out/17;568,791.9
nov/17;573,979.4
dez/17;577,669.5
jan/18;552,626.4
fev/18;540,004.3
mar/18;589,452.3
abr/18;587,663.9
mai/18;562,131.4
jun/18;584,303.7
jul/18;592,251.5
ago/18;599,049.9
set/18;576,554.3
out/18;612,238.2
nov/18;607,713.0
dez/18;600,152.0
jan/19;578,674.3
fev/19;576,573.4
mar/19;602,305.7
abr/19;613,527.6
mai/19;615,875.9
jun/19;597,357.7
jul/19;632,236.2
ago/19;629,560.0
set/19;618,814.1
out/19;649,628.5
nov/19;638,047.3
dez/19;636,530.2
jan/20;613,947.6
fev/20;618,304.5
mar/20;635,842.5
abr/20;567,626.4
mai/20;577,737.2
jun/20;607,360.0
jul/20;643,950.6
ago/20;637,405.0
set/20;647,967.9
out/20;673,364.2
nov/20;680,136.5
dez/20;705,954.7
jan/21;678,628.6
fev/21;707,202.8
mar/21;770,838.7
abr/21;738,431.9
mai/21;731,611.7
jun/21;733,595.3
jul/21;766,243.4
ago/21;767,448.2
set/21;762,159.4
out/21;773,510.2
nov/21;788,324.3
dez/21;794,147.6
jan/22;724,702.2
fev/22;753,050.0
mar/22;841,776.0
abr/22;832,504.8
mai/22;842,025.6
jun/22;842,951.1
jul/22;869,487.3
ago/22;873,758.9
set/22;857,935.7
out/22;880,721.2
nov/22;880,510.1
dez/22;880,253.9
jan/23;812,574.7
fev/23;831,266.4
mar/23;938,864.6
abr/23;904,791.9
mai/23;903,238.1
jun/23;893,074.9
jul/23;911,553.5
ago/23;923,374.4
set/23;906,033.5
out/23;943,967.2
nov/23;950,501.0
dez/23;936,872.1
jan/24;875,592.8
fev/24;886,081.6
mar/24;952,242.4
abr/24;977,372.0
mai/24;954,779.1
jun/24;952,995.6
jul/24;987,472.6
Source;BCB-Depec
