Date;Empregados
set/12;39,916,048.00
out/12;40,006,191.00
nov/12;40,082,348.00
dez/12;39,579,307.00
jan/13;39,654,921.00
fev/13;39,823,769.00
mar/13;40,006,787.00
abr/13;40,263,012.00
mai/13;40,374,236.00
jun/13;40,532,305.00
jul/13;40,605,522.00
ago/13;40,767,682.00
set/13;41,025,350.00
out/13;41,156,215.00
nov/13;41,225,576.00
dez/13;40,717,869.00
jan/14;40,781,107.00
fev/14;41,082,501.00
mar/14;41,117,606.00
abr/14;41,250,321.00
mai/14;41,336,993.00
jun/14;41,387,566.00
jul/14;41,418,749.00
ago/14;41,549,653.00
set/14;41,718,479.00
out/14;41,701,447.00
nov/14;41,720,795.00
dez/14;41,138,559.00
jan/15;41,076,734.00
fev/15;41,089,907.00
mar/15;41,125,972.00
abr/15;41,041,191.00
mai/15;40,931,827.00
jun/15;40,832,965.00
jul/15;40,683,608.00
ago/15;40,606,288.00
set/15;40,518,533.00
out/15;40,351,865.00
nov/15;40,217,963.00
dez/15;39,603,570.00
jan/16;39,511,297.00
fev/16;39,414,963.00
mar/16;39,300,441.00
abr/16;39,244,619.00
mai/16;39,178,233.00
jun/16;39,090,513.00
jul/16;39,006,273.00
ago/16;38,984,187.00
set/16;38,951,918.00
out/16;38,873,153.00
nov/16;38,755,119.00
dez/16;38,277,012.00
jan/17;38,245,937.00
fev/17;38,295,566.00
mar/17;38,237,972.00
abr/17;38,312,354.00
mai/17;38,357,198.00
jun/17;38,374,049.00
jul/17;38,424,830.00
ago/17;38,474,272.00
set/17;38,523,555.00
out/17;38,610,480.00
nov/17;38,605,679.00
dez/17;38,265,048.00
jan/18;38,356,115.00
fev/18;38,433,146.00
mar/18;38,508,264.00
abr/18;38,639,724.00
mai/18;38,682,786.00
jun/18;38,691,183.00
jul/18;38,749,328.00
ago/18;38,873,072.00
set/18;39,024,078.00
out/18;39,090,683.00
nov/18;39,153,851.00
dez/18;38,811,493.00
jan/19;38,856,159.00
fev/19;39,048,662.00
mar/19;39,010,050.00
abr/19;39,146,434.00
mai/19;39,187,108.00
jun/19;39,246,638.00
jul/19;39,298,263.00
ago/19;39,426,094.00
set/19;39,588,128.00
out/19;39,662,286.00
nov/19;39,762,883.00
dez/19;39,455,572.00
jan/20;39,567,680.00
fev/20;39,784,999.00
mar/20;39,490,001.00
abr/20;38,508,562.00
mai/20;38,110,294.00
jun/20;38,056,871.00
jul/20;38,165,329.00
ago/20;38,379,908.00
set/20;38,679,606.00
out/20;39,045,579.00
nov/20;39,421,874.00
dez/20;39,265,227.00
jan/21;39,519,584.00
fev/21;39,917,371.00
mar/21;40,071,061.00
abr/21;40,161,236.00
mai/21;40,427,840.00
jun/21;40,745,933.00
jul/21;41,052,889.00
ago/21;41,440,729.00
set/21;41,770,893.00
out/21;42,023,666.00
nov/21;42,337,799.00
dez/21;42,046,414.00
jan/22;42,213,911.00
fev/22;42,567,342.00
mar/22;42,666,480.00
abr/22;42,872,040.00
mai/22;43,149,842.00
jun/22;43,435,027.00
jul/22;43,660,248.00
ago/22;43,948,940.00
set/22;44,227,310.00
out/22;44,387,627.00
nov/22;44,515,496.00
dez/22;44,060,049.00
jan/23;44,150,074.00
fev/23;44,402,479.00
mar/23;44,597,245.00
abr/23;44,779,098.00
mai/23;44,934,997.00
jun/23;45,090,705.00
jul/23;45,232,812.00
ago/23;45,452,421.00
set/23;45,657,162.00
out/23;45,844,478.00
nov/23;45,966,384.00
dez/23;45,517,275.00
jan/24;45,685,319.00
fev/24;45,991,559.00
mar/24;46,236,236.00
abr/24;46,476,021.00
mai/24;46,615,563.00
jun/24;46,821,468.00
jul/24;47,009,489.00
Source;ME
